,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
7074,223857,O. Salinas,30,https://cdn.sofifa.org/players/4/19/223857.png,Chile,https://cdn.sofifa.org/flags/55.png,68,68,CD Everton de Viña del Mar,https://cdn.sofifa.org/teams/2/light/112584.png,€850K,€2K,1664,Right,1,4,3,Medium/ Medium,Normal,No,LW,19,"Jun 3, 2017",,2018,5'8,157lbs,68+2,68+2,68+2,67+2,66+2,66+2,66+2,67+2,65+2,65+2,65+2,67+2,58+2,58+2,58+2,67+2,52+2,46+2,46+2,46+2,52+2,48+2,42+2,42+2,42+2,48+2,63,72,68,63,48,69,37,26,52,68,83,84,80,56,76,63,66,81,74,57,48,34,68,55,59,53,25,16,18,15,9,10,14,7,€1.1M
7077,171377,L. López,34,https://cdn.sofifa.org/players/4/19/171377.png,Mexico,https://cdn.sofifa.org/flags/83.png,68,68,Club Necaxa,https://cdn.sofifa.org/teams/2/light/101121.png,€270K,€5K,1641,Right,1,3,2,Medium/ Medium,Normal,No,RCB,23,"Jul 25, 2018",,2023,5'10,165lbs,51+2,51+2,51+2,49+2,48+2,48+2,48+2,49+2,49+2,49+2,49+2,49+2,52+2,52+2,52+2,49+2,57+2,61+2,61+2,61+2,57+2,58+2,67+2,67+2,67+2,58+2,51,39,69,62,30,53,55,52,59,62,46,35,66,56,64,65,81,43,79,53,71,67,33,28,69,54,64,67,67,9,16,6,13,11,€459K
7081,192369,H. Bernardello,31,https://cdn.sofifa.org/players/4/19/192369.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,68,Newell's Old Boys,https://cdn.sofifa.org/teams/2/light/110396.png,€600K,€7K,1737,Right,1,3,2,Low/ Medium,Normal,No,LDM,5,"Jan 5, 2018",,2019,5'9,163lbs,54+2,54+2,54+2,57+2,56+2,56+2,56+2,57+2,60+2,60+2,60+2,59+2,64+2,64+2,64+2,59+2,62+2,66+2,66+2,66+2,62+2,61+2,63+2,63+2,63+2,61+2,67,42,52,74,55,62,69,60,72,70,43,38,63,61,65,69,61,58,66,60,66,66,36,65,51,65,61,66,62,12,11,14,12,8,€900K
7082,213618,D. Vallejos,28,https://cdn.sofifa.org/players/4/19/213618.png,Chile,https://cdn.sofifa.org/flags/55.png,68,68,CD Palestino,https://cdn.sofifa.org/teams/2/light/111328.png,€925K,€5K,1749,Right,1,3,3,High/ Medium,Stocky,No,ST,27,,Universidad Católica,"Dec 31, 2018",5'8,163lbs,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,65+2,60+2,60+2,60+2,65+2,54+2,51+2,51+2,51+2,54+2,51+2,46+2,46+2,46+2,51+2,62,65,61,62,52,63,59,26,53,67,80,83,85,56,73,71,83,82,83,70,55,60,69,59,55,53,30,13,18,7,9,14,12,12,
7086,217203,L. Sánchez,31,https://cdn.sofifa.org/players/4/19/217203.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,68,Club Atlético Aldosivi,https://cdn.sofifa.org/teams/2/light/111707.png,€600K,€5K,1339,Right,1,3,2,Medium/ Medium,Normal,No,CB,16,"Jul 31, 2018",,2023,6'3,187lbs,44+2,44+2,44+2,37+2,39+2,39+2,39+2,37+2,37+2,37+2,37+2,39+2,43+2,43+2,43+2,39+2,52+2,57+2,57+2,57+2,52+2,56+2,66+2,66+2,66+2,56+2,34,28,72,43,33,40,36,29,38,43,36,30,33,68,33,56,31,49,90,22,66,65,27,29,47,50,70,72,68,10,10,10,9,12,€870K
7095,243829,D. Calderón Caicedo,28,https://cdn.sofifa.org/players/4/19/243829.png,Colombia,https://cdn.sofifa.org/flags/56.png,68,68,Al Faisaly,https://cdn.sofifa.org/teams/2/light/112389.png,€925K,€11K,1599,Right,1,3,3,Medium/ Low,Normal,No,ST,18,"Jun 1, 2018",,2021,5'11,190lbs,67+2,67+2,67+2,63+2,64+2,64+2,64+2,63+2,62+2,62+2,62+2,61+2,55+2,55+2,55+2,61+2,43+2,41+2,41+2,41+2,43+2,41+2,38+2,38+2,38+2,41+2,47,72,69,57,67,67,49,41,46,65,69,70,65,64,62,70,72,62,70,69,47,19,63,53,66,63,14,18,13,11,9,12,7,14,€1.5M
7109,226170,E. Amor,23,https://cdn.sofifa.org/players/4/19/226170.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,76,Club Atlético Aldosivi,https://cdn.sofifa.org/teams/2/light/111707.png,€1.1M,€5K,1414,Right,1,3,2,Low/ High,Normal,No,LCB,32,,Vélez Sarsfield,"Jun 30, 2019",6'0,176lbs,43+2,43+2,43+2,41+2,42+2,42+2,42+2,41+2,44+2,44+2,44+2,45+2,50+2,50+2,50+2,45+2,57+2,62+2,62+2,62+2,57+2,59+2,67+2,67+2,67+2,59+2,35,18,65,60,23,45,30,17,52,56,46,43,38,63,46,45,68,63,85,19,70,66,27,34,36,45,65,68,67,10,14,12,14,14,
7111,239738,J. Angulo,20,https://cdn.sofifa.org/players/4/19/239738.png,Mexico,https://cdn.sofifa.org/flags/83.png,68,80,Santos Laguna,https://cdn.sofifa.org/teams/2/light/110144.png,€1.4M,€6K,1707,Left,1,3,2,Medium/ High,Normal,No,LB,4,"Jul 1, 2017",,2021,5'11,161lbs,53+2,53+2,53+2,57+2,55+2,55+2,55+2,57+2,56+2,56+2,56+2,60+2,59+2,59+2,59+2,60+2,66+2,64+2,64+2,64+2,66+2,66+2,65+2,65+2,65+2,66+2,67,36,61,66,36,57,57,38,67,65,71,70,62,56,75,47,73,77,62,42,63,62,53,42,47,63,66,70,68,8,13,9,9,12,€2.7M
7122,229245,P. Corral,26,https://cdn.sofifa.org/players/4/19/229245.png,Chile,https://cdn.sofifa.org/flags/55.png,68,71,Deportes Iquique,https://cdn.sofifa.org/teams/2/light/112531.png,€1.1M,€2K,1761,Right,1,3,2,Medium/ Medium,Lean,No,CM,29,"Jan 8, 2018",,2019,5'7,143lbs,59+2,59+2,59+2,61+2,62+2,62+2,62+2,61+2,63+2,63+2,63+2,62+2,66+2,66+2,66+2,62+2,65+2,67+2,67+2,67+2,65+2,64+2,62+2,62+2,62+2,64+2,62,61,47,71,31,62,34,59,70,58,49,59,58,58,59,71,57,82,48,72,67,72,66,64,77,57,66,71,62,12,13,5,8,10,€1.6M
7134,221312,A. Pérez,24,https://cdn.sofifa.org/players/4/19/221312.png,Colombia,https://cdn.sofifa.org/flags/56.png,68,70,Querétaro,https://cdn.sofifa.org/teams/2/light/110150.png,€925K,€4K,1599,Left,1,3,2,Medium/ Medium,Normal,No,LB,25,"Jul 1, 2017",,2023,5'11,161lbs,49+2,49+2,49+2,52+2,50+2,50+2,50+2,52+2,51+2,51+2,51+2,54+2,54+2,54+2,54+2,54+2,62+2,62+2,62+2,62+2,62+2,63+2,67+2,67+2,67+2,63+2,57,29,62,60,19,54,29,27,53,55,68,69,61,65,69,39,78,61,82,36,77,67,41,45,40,54,62,68,65,16,8,13,12,12,€1.6M
7137,214401,H. Urrego,25,https://cdn.sofifa.org/players/4/19/214401.png,Colombia,https://cdn.sofifa.org/flags/56.png,68,72,Independiente Santa Fe,https://cdn.sofifa.org/teams/2/light/101104.png,€975K,€2K,1504,Right,1,2,2,Medium/ Medium,Normal,No,CB,15,"Jan 1, 2012",,2019,6'0,170lbs,48+2,48+2,48+2,46+2,45+2,45+2,45+2,46+2,45+2,45+2,45+2,49+2,50+2,50+2,50+2,49+2,60+2,61+2,61+2,61+2,60+2,62+2,67+2,67+2,67+2,62+2,47,38,73,49,22,44,33,26,51,48,56,59,57,67,51,32,81,79,77,24,75,72,40,34,32,62,69,64,59,13,13,6,6,7,€1.4M
7139,219522,J. Ledesma,25,https://cdn.sofifa.org/players/4/19/219522.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,73,Rosario Central,https://cdn.sofifa.org/teams/2/light/110580.png,€850K,€5K,1093,Right,1,2,1,Medium/ Medium,Normal,No,GK,1,"Jul 1, 2013",,2021,6'1,183lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,15,31,14,15,16,13,22,11,49,42,40,63,50,22,59,39,60,20,23,20,13,36,22,41,13,13,12,68,65,63,65,71,€1.3M
7141,233090,J. Torres,21,https://cdn.sofifa.org/players/4/19/233090.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,79,Newell's Old Boys,https://cdn.sofifa.org/teams/2/light/110396.png,€1.5M,€6K,1649,Left,1,3,3,Medium/ Medium,Lean,No,RM,18,"Dec 1, 2014",,2021,5'6,154lbs,60+2,60+2,60+2,67+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,66+2,60+2,60+2,60+2,66+2,54+2,50+2,50+2,50+2,54+2,51+2,44+2,44+2,44+2,51+2,55,50,42,65,45,76,48,42,60,69,85,90,88,61,84,55,74,65,60,58,40,41,62,58,39,63,31,30,32,7,10,12,7,8,€2.6M
7142,241026,T. Chancalay,19,https://cdn.sofifa.org/players/4/19/241026.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,83,Club Atlético Colón,https://cdn.sofifa.org/teams/2/light/110406.png,€1.9M,€3K,1775,Right,1,3,3,High/ Medium,Lean,No,LW,12,"Feb 10, 2017",,2020,5'9,143lbs,66+2,66+2,66+2,71+2,69+2,69+2,69+2,71+2,70+2,70+2,70+2,70+2,65+2,65+2,65+2,70+2,57+2,54+2,54+2,54+2,57+2,54+2,46+2,46+2,46+2,54+2,64,66,54,67,60,76,67,50,65,72,82,81,86,68,81,62,60,69,57,61,52,43,67,68,58,69,33,33,32,10,8,8,7,8,€4.1M
7146,219523,J. Aguirre,26,https://cdn.sofifa.org/players/4/19/219523.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,68,Belgrano de Córdoba,https://cdn.sofifa.org/teams/2/light/111022.png,€950K,€7K,1770,Left,1,2,3,Medium/ Medium,Normal,No,LM,20,,Rosario Central,"Dec 31, 2018",5'9,152lbs,62+2,62+2,62+2,67+2,64+2,64+2,64+2,67+2,64+2,64+2,64+2,66+2,59+2,59+2,59+2,66+2,59+2,54+2,54+2,54+2,59+2,57+2,51+2,51+2,51+2,57+2,63,54,46,65,58,72,56,43,57,68,94,94,85,58,80,65,56,64,68,60,55,40,56,54,64,50,32,52,48,12,13,15,14,9,
7153,220805,A. Castro,24,https://cdn.sofifa.org/players/4/19/220805.png,Colombia,https://cdn.sofifa.org/flags/56.png,68,70,Alianza Petrolera,https://cdn.sofifa.org/teams/2/light/112579.png,€1.1M,€1K,1664,Left,1,3,3,Medium/ Medium,Lean,No,LM,20,,Deportivo Cali,"Dec 31, 2018",5'7,150lbs,58+2,58+2,58+2,66+2,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,59+2,59+2,59+2,66+2,53+2,48+2,48+2,48+2,53+2,49+2,40+2,40+2,40+2,49+2,71,62,28,67,45,67,66,62,70,64,83,78,80,59,80,62,74,57,36,56,45,17,58,63,36,58,51,32,31,8,16,12,12,16,
7159,214406,A. Acevedo,35,https://cdn.sofifa.org/players/4/19/214406.png,Chile,https://cdn.sofifa.org/flags/55.png,68,68,CD O'Higgins,https://cdn.sofifa.org/teams/2/light/112116.png,€210K,€2K,1436,Right,1,3,2,Medium/ Medium,Normal,No,RCB,3,"Dec 23, 2013",,2023,5'9,163lbs,43+2,43+2,43+2,38+2,40+2,40+2,40+2,38+2,41+2,41+2,41+2,41+2,47+2,47+2,47+2,41+2,55+2,60+2,60+2,60+2,55+2,59+2,67+2,67+2,67+2,59+2,27,26,75,52,24,28,21,31,45,40,40,55,51,74,65,38,76,68,72,24,69,71,32,39,38,58,70,68,60,16,7,11,11,12,€284K
7160,232582,W. Andrade,33,https://cdn.sofifa.org/players/4/19/232582.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,68,Patronato,https://cdn.sofifa.org/teams/2/light/110581.png,€375K,€6K,1330,Right,1,2,2,Low/ Medium,Stocky,No,CB,2,"Jul 1, 2004",,2020,6'3,190lbs,44+2,44+2,44+2,36+2,39+2,39+2,39+2,36+2,38+2,38+2,38+2,38+2,43+2,43+2,43+2,38+2,52+2,58+2,58+2,58+2,52+2,55+2,67+2,67+2,67+2,55+2,24,28,68,54,20,31,20,22,48,45,42,46,39,65,40,57,76,44,85,22,70,67,24,20,30,62,70,68,61,10,6,9,6,13,€544K
7162,183686,M. de Luna,30,https://cdn.sofifa.org/players/4/19/183686.png,Mexico,https://cdn.sofifa.org/flags/83.png,68,68,Guadalajara,https://cdn.sofifa.org/teams/2/light/1880.png,€675K,€13K,1526,Right,1,2,2,Low/ High,Normal,No,CB,33,"Jul 13, 2018",,2019,5'10,176lbs,46+2,46+2,46+2,45+2,45+2,45+2,45+2,45+2,46+2,46+2,46+2,48+2,52+2,52+2,52+2,48+2,59+2,62+2,62+2,62+2,59+2,61+2,66+2,66+2,66+2,61+2,42,20,68,59,30,40,33,45,50,59,54,54,47,65,58,40,72,71,77,37,70,68,40,33,50,50,64,69,61,7,14,9,14,6,€1.1M
7165,214151,J. Mahecha,30,https://cdn.sofifa.org/players/4/19/214151.png,Colombia,https://cdn.sofifa.org/flags/56.png,68,68,La Equidad,https://cdn.sofifa.org/teams/2/light/112523.png,€825K,€1K,1887,Right,1,3,2,Medium/ Medium,Lean,No,LDM,24,"Dec 19, 2016",,2021,5'9,154lbs,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,64+2,65+2,67+2,67+2,67+2,65+2,64+2,65+2,65+2,65+2,64+2,68,52,59,70,66,62,58,68,72,66,57,61,69,74,70,67,77,58,58,69,77,67,64,65,59,58,70,67,56,14,9,14,13,11,€1.1M
7166,223879,L. Ramos,28,https://cdn.sofifa.org/players/4/19/223879.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,68,Lobos BUAP,https://cdn.sofifa.org/teams/2/light/111035.png,€925K,€4K,1577,Right,1,3,3,High/ High,Stocky,No,LS,29,"Aug 31, 2018",,2023,6'1,183lbs,67+2,67+2,67+2,61+2,64+2,64+2,64+2,61+2,61+2,61+2,61+2,60+2,54+2,54+2,54+2,60+2,45+2,44+2,44+2,44+2,45+2,43+2,44+2,44+2,44+2,43+2,36,72,70,61,58,63,34,20,35,68,69,65,58,58,69,65,72,65,79,59,54,21,71,52,65,70,40,20,22,13,13,8,10,12,€1.5M
7168,209800,M. Herrera,29,https://cdn.sofifa.org/players/4/19/209800.png,Mexico,https://cdn.sofifa.org/flags/83.png,68,68,Club León,https://cdn.sofifa.org/teams/2/light/110781.png,€700K,€11K,1504,Right,1,3,2,Low/ High,Normal,No,RCB,22,"Jul 16, 2018",,2022,6'0,179lbs,48+2,48+2,48+2,45+2,46+2,46+2,46+2,45+2,47+2,47+2,47+2,47+2,50+2,50+2,50+2,47+2,57+2,60+2,60+2,60+2,57+2,59+2,66+2,66+2,66+2,59+2,31,28,72,58,26,45,35,34,51,52,55,63,53,67,45,52,61,51,74,38,69,64,28,40,52,71,63,68,70,13,10,14,10,12,€1.2M
7175,210826,L. Gallegos,26,https://cdn.sofifa.org/players/4/19/210826.png,Chile,https://cdn.sofifa.org/flags/55.png,68,68,Club Necaxa,https://cdn.sofifa.org/teams/2/light/101121.png,€950K,€6K,1743,Left,1,3,2,High/ Medium,Normal,No,LM,18,"Jul 1, 2015",,2022,5'8,161lbs,61+2,61+2,61+2,66+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,62+2,62+2,62+2,66+2,60+2,55+2,55+2,55+2,60+2,57+2,50+2,50+2,50+2,57+2,66,60,39,67,58,68,57,59,60,67,79,79,79,61,72,67,69,80,58,64,40,28,59,59,51,48,55,57,45,11,7,7,9,6,€1.6M
7181,214411,N. Maturana,24,https://cdn.sofifa.org/players/4/19/214411.png,Chile,https://cdn.sofifa.org/flags/55.png,68,71,Colo-Colo,https://cdn.sofifa.org/teams/2/light/110980.png,€1.1M,€4K,1740,Left,1,2,3,High/ Low,Lean,No,RW,14,"Jun 20, 2017",,2018,5'4,139lbs,63+2,63+2,63+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,64+2,64+2,64+2,67+2,59+2,56+2,56+2,56+2,59+2,57+2,51+2,51+2,51+2,57+2,66,60,48,67,42,67,65,62,66,69,75,76,73,61,70,66,54,66,53,68,55,40,67,69,41,50,38,55,49,14,11,12,8,7,€1.7M
7185,214412,P. Magalhães,28,https://cdn.sofifa.org/players/4/19/214412.png,Chile,https://cdn.sofifa.org/flags/55.png,68,68,CD Antofagasta,https://cdn.sofifa.org/teams/2/light/112533.png,€700K,€2K,1738,Right,1,3,2,Medium/ Medium,Lean,No,RB,14,"Jan 18, 2017",,2018,5'10,163lbs,53+2,53+2,53+2,57+2,54+2,54+2,54+2,57+2,56+2,56+2,56+2,58+2,59+2,59+2,59+2,58+2,65+2,64+2,64+2,64+2,65+2,67+2,67+2,67+2,67+2,67+2,59,42,72,59,29,49,50,34,57,61,76,74,70,64,66,31,83,80,66,56,73,63,45,58,56,57,71,65,71,8,10,14,10,16,€945K
7202,214416,I. Díaz,28,https://cdn.sofifa.org/players/4/19/214416.png,Chile,https://cdn.sofifa.org/flags/55.png,68,68,Universidad de Chile,https://cdn.sofifa.org/teams/2/light/15029.png,€925K,€6K,1672,Right,1,3,3,High/ Medium,Normal,No,ST,16,"Jul 14, 2017",,2019,5'11,185lbs,67+2,67+2,67+2,61+2,64+2,64+2,64+2,61+2,62+2,62+2,62+2,61+2,56+2,56+2,56+2,61+2,45+2,46+2,46+2,46+2,45+2,43+2,44+2,44+2,44+2,43+2,33,67,68,60,61,64,57,40,52,66,72,74,67,66,65,68,80,70,80,51,78,17,67,51,76,70,22,24,22,15,13,7,9,10,€1.3M
7223,223637,A. Polo,23,https://cdn.sofifa.org/players/4/19/223637.png,Peru,https://cdn.sofifa.org/flags/59.png,68,74,Portland Timbers,https://cdn.sofifa.org/teams/2/light/111140.png,€1.2M,€4K,1778,Right,1,3,3,Medium/ Medium,Normal,No,CM,14,,Monarcas Morelia,"Dec 31, 2018",5'9,157lbs,66+2,66+2,66+2,70+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,70+2,66+2,66+2,66+2,70+2,64+2,59+2,59+2,59+2,64+2,62+2,52+2,52+2,52+2,62+2,67,64,59,69,56,70,54,45,64,72,84,87,87,73,85,62,38,74,47,58,38,59,68,61,44,59,37,53,48,10,7,12,12,14,
7225,142998,C. Muñoz,41,https://cdn.sofifa.org/players/4/19/142998.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,68,CD Universidad de Concepción,https://cdn.sofifa.org/teams/2/light/112534.png,€60K,€1K,1234,Right,1,3,1,Medium/ Medium,Normal,No,GK,1,"Jan 1, 2013",,2018,5'10,161lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,13,36,12,22,19,20,34,31,53,56,33,62,58,23,73,29,65,20,35,25,16,45,24,62,18,14,19,67,65,68,71,68,€84K
7231,215192,G. Díaz,30,https://cdn.sofifa.org/players/4/19/215192.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,68,Vélez Sarsfield,https://cdn.sofifa.org/teams/2/light/101088.png,€650K,€6K,1894,Right,1,2,3,Medium/ Medium,Normal,No,RB,24,"Aug 3, 2017",,2020,5'9,165lbs,62+2,62+2,62+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,68+2,67+2,67+2,67+2,68+2,67+2,63+2,63+2,63+2,67+2,72,44,52,67,45,69,71,67,68,73,78,72,76,70,73,72,67,80,66,69,67,65,66,72,50,56,64,62,59,7,8,8,7,8,€975K
7240,225434,S. Salazar,22,https://cdn.sofifa.org/players/4/19/225434.png,Colombia,https://cdn.sofifa.org/flags/56.png,68,78,Independiente Santa Fe,https://cdn.sofifa.org/teams/2/light/101104.png,€1.3M,€2K,1564,Right,1,3,2,Low/ Medium,Stocky,No,CDM,13,"Jun 30, 2014",,2020,5'11,174lbs,51+2,51+2,51+2,54+2,55+2,55+2,55+2,54+2,58+2,58+2,58+2,58+2,63+2,63+2,63+2,58+2,62+2,67+2,67+2,67+2,62+2,62+2,62+2,62+2,62+2,62+2,36,34,33,70,36,53,31,35,64,66,52,65,51,73,61,42,50,78,73,38,63,67,56,58,43,60,66,65,59,9,8,9,11,9,€2M
7255,181917,L. Noriega,33,https://cdn.sofifa.org/players/4/19/181917.png,Mexico,https://cdn.sofifa.org/flags/83.png,68,68,Tiburones Rojos de Veracruz,https://cdn.sofifa.org/teams/2/light/110145.png,€525K,€4K,1892,Right,1,3,3,High/ Medium,Normal,No,LDM,8,"Jul 19, 2018",,2019,5'8,161lbs,62+2,62+2,62+2,62+2,63+2,63+2,63+2,62+2,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,65+2,67+2,67+2,67+2,65+2,65+2,66+2,66+2,66+2,65+2,58,53,63,68,51,63,67,61,67,65,65,60,68,63,70,72,74,88,73,73,75,67,59,68,67,71,66,64,59,9,15,7,6,8,€866K
7262,231070,B. Pittón,25,https://cdn.sofifa.org/players/4/19/231070.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,73,Unión de Santa Fe,https://cdn.sofifa.org/teams/2/light/111716.png,€975K,€5K,1794,Left,1,2,2,Medium/ Medium,Normal,No,LWB,14,"Jan 1, 2015",,2020,5'9,154lbs,59+2,59+2,59+2,60+2,58+2,58+2,58+2,60+2,57+2,57+2,57+2,61+2,59+2,59+2,59+2,61+2,66+2,61+2,61+2,61+2,66+2,67+2,62+2,62+2,62+2,67+2,78,51,68,53,63,56,64,63,59,65,74,68,62,58,76,67,82,71,57,47,30,73,57,58,58,54,58,68,67,10,11,5,9,8,€1.5M
7280,214690,O. Hernández,23,https://cdn.sofifa.org/players/4/19/214690.png,Chile,https://cdn.sofifa.org/flags/55.png,68,75,CD Antofagasta,https://cdn.sofifa.org/teams/2/light/112533.png,€1.2M,€2K,1702,Right,1,3,3,Medium/ Medium,Normal,No,CM,10,"Jul 23, 2018",,2023,5'10,157lbs,59+2,59+2,59+2,65+2,64+2,64+2,64+2,65+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,59+2,59+2,59+2,59+2,59+2,57+2,50+2,50+2,50+2,57+2,57,58,43,72,46,69,57,62,71,71,72,66,73,59,68,62,49,73,44,59,50,59,56,71,60,63,37,49,46,11,8,7,10,7,€1.9M
7283,187298,H. Rodríguez,28,https://cdn.sofifa.org/players/4/19/187298.png,Mexico,https://cdn.sofifa.org/flags/83.png,68,70,Puebla FC,https://cdn.sofifa.org/teams/2/light/110152.png,€850K,€11K,1637,Right,1,2,2,Low/ Medium,Normal,No,CB,27,,Pachuca,"Dec 31, 2018",6'0,174lbs,55+2,55+2,55+2,52+2,53+2,53+2,53+2,52+2,53+2,53+2,53+2,53+2,56+2,56+2,56+2,53+2,60+2,63+2,63+2,63+2,60+2,62+2,67+2,67+2,67+2,62+2,44,41,70,62,45,52,39,42,57,58,59,58,50,66,58,63,56,58,78,52,68,68,40,46,50,68,65,68,67,11,6,10,16,14,
7287,230308,L. Balanta,27,https://cdn.sofifa.org/players/4/19/230308.png,Colombia,https://cdn.sofifa.org/flags/56.png,68,68,Independiente Santa Fe,https://cdn.sofifa.org/teams/2/light/101104.png,€750K,€2K,1643,Left,1,2,2,Medium/ Low,Normal,No,LB,7,"Aug 11, 2015",,2018,6'1,172lbs,56+2,56+2,56+2,57+2,56+2,56+2,56+2,57+2,55+2,55+2,55+2,58+2,55+2,55+2,55+2,58+2,65+2,61+2,61+2,61+2,65+2,66+2,67+2,67+2,67+2,66+2,62,38,71,56,37,54,51,32,36,61,62,74,58,69,52,45,72,65,74,38,49,66,60,56,45,58,67,70,74,9,12,13,7,8,€1.1M
7290,224165,J. Huentelaf,29,https://cdn.sofifa.org/players/4/19/224165.png,Chile,https://cdn.sofifa.org/flags/55.png,68,68,CD Universidad de Concepción,https://cdn.sofifa.org/teams/2/light/112534.png,€875K,€3K,1680,Right,1,3,3,High/ Low,Normal,No,RW,8,"Jul 27, 2017",,2018,5'10,161lbs,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,67+2,59+2,59+2,59+2,67+2,50+2,47+2,47+2,47+2,50+2,46+2,41+2,41+2,41+2,46+2,65,68,64,66,56,70,36,47,64,68,79,82,75,57,73,65,59,70,70,63,54,15,67,61,57,51,46,11,19,10,8,13,7,15,€1.2M
7301,215208,E. Isnaldo,24,https://cdn.sofifa.org/players/4/19/215208.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,73,Defensa y Justicia,https://cdn.sofifa.org/teams/2/light/111710.png,€1.2M,€5K,1686,Left,1,3,3,High/ Low,Normal,No,LM,11,"Jul 23, 2018",,2021,5'11,159lbs,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,62+2,62+2,62+2,67+2,54+2,50+2,50+2,50+2,54+2,50+2,42+2,42+2,42+2,50+2,62,65,42,73,57,67,63,45,59,71,76,76,70,61,76,70,58,69,62,60,48,27,62,62,61,55,27,31,36,10,15,9,9,7,€1.9M
7305,214441,A. Contreras,25,https://cdn.sofifa.org/players/4/19/214441.png,Chile,https://cdn.sofifa.org/flags/55.png,68,73,Universidad de Chile,https://cdn.sofifa.org/teams/2/light/15029.png,€1M,€5K,1588,Right,1,3,2,Medium/ High,Normal,No,CB,3,"Jun 16, 2016",,2019,6'0,176lbs,53+2,53+2,53+2,51+2,50+2,50+2,50+2,51+2,51+2,51+2,51+2,53+2,55+2,55+2,55+2,53+2,61+2,63+2,63+2,63+2,61+2,62+2,67+2,67+2,67+2,62+2,52,48,76,66,36,47,37,42,62,54,57,51,50,63,42,41,76,72,83,36,59,66,44,37,44,53,65,63,68,8,8,8,13,14,€1.5M
7312,235947,J. Brunetta,21,https://cdn.sofifa.org/players/4/19/235947.png,Argentina,https://cdn.sofifa.org/flags/52.png,68,80,Belgrano de Córdoba,https://cdn.sofifa.org/teams/2/light/111022.png,€1.6M,€5K,1800,Right,1,3,3,Medium/ Medium,Lean,No,LM,17,"Aug 23, 2017",,2021,5'9,150lbs,59+2,59+2,59+2,66+2,64+2,64+2,64+2,66+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,66+2,59+2,57+2,57+2,57+2,59+2,56+2,49+2,49+2,49+2,56+2,76,53,44,74,66,68,78,78,70,64,68,70,84,59,73,67,60,62,47,77,63,52,57,71,53,60,25,50,48,7,10,11,10,5,€2.6M
